n: 10
p: 0,10
--------------
length:          10;          12;          14;          16;          18;          20
count:        1.000;       1.000;       1.000;       1.000;       1.000;       1.000
min  :            0;           0;       1.280;       2.048;      20.224;      64.000
max  :          512;       2.048;       5.120;      17.920;      65.536;     286.720
avg  :          179;         662;       2.464;       9.297;      34.997;     133.697
sum  :      179.496;     662.482;   2.464.190;   9.296.728;  34.996.656; 133.696.840
total:        1.024;       4.096;      16.384;      65.536;     262.144;   1.048.576
total%:       0,500;       0,500;       0,313;       0,273;       0,250;       0,273
half01:         252;         924;       3.432;      12.870;      48.620;     184.756
half01%       2,032;       2,216;       1,492;       1,392;       1,348;       1,552
***************
n: 100
p: 0,10
--------------
length:        10;        12;        14;        16;        18;        20
count:      1.000;     1.000;     1.000;     1.000;     1.000;     1.000
min  :          0;        14;        52;       714;     3.656;    14.132
max  :         72;       162;       576;     2.040;     6.072;    24.926
avg  :         25;        89;       331;     1.235;     4.664;    17.716
sum  :     24.750;    89.492;   331.018; 1.235.396; 4.664.302;17.715.782
total:      1.024;     4.096;    16.384;    65.536;   262.144; 1.048.576
total%:     0,070;     0,040;     0,035;     0,031;     0,023;     0,024
half01:       252;       924;     3.432;    12.870;    48.620;   184.756
half01%     0,286;     0,175;     0,168;     0,159;     0,125;     0,135
***************
n: 1.000
p: 0,10
--------------
length:       10;       12;       14;       16;       18;       20
count:     1.000;    1.000;    1.000;    1.000;    1.000;    1.000
min  :         0;        0;       26;       54;      536;    1.770
max  :        36;       60;      170;      482;    1.804;    5.836
avg  :         7;       22;       77;      270;      962;    3.462
sum  :     6.630;   22.190;   77.200;  269.816;  961.698;3.462.002
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,035;    0,015;    0,010;    0,007;    0,007;    0,006
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,143;    0,065;    0,050;    0,037;    0,037;    0,032
***************
n: 10.000
p: 0,10
--------------
length:       10;       12;       14;       16;       18;       20
count:     1.000;    1.000;    1.000;    1.000;    1.000;    1.000
min  :         0;        0;        0;        4;      142;      564
max  :        12;       24;       60;      182;      662;    2.062
avg  :         2;        7;       24;       86;      303;    1.109
sum  :     2.138;    7.150;   24.300;   85.504;  302.594;1.109.196
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,012;    0,006;    0,004;    0,003;    0,003;    0,002
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,048;    0,026;    0,017;    0,014;    0,014;    0,011
***************
n: 10
p: 0,50
--------------
length:        10;        12;        14;        16;        18;        20
count:      1.000;     1.000;     1.000;     1.000;     1.000;     1.000
min  :          0;        70;       336;     1.430;     6.720;    29.324
max  :        120;       300;     1.064;     3.240;    12.420;    42.862
avg  :         48;       178;       657;     2.448;     9.200;    35.061
sum  :     48.426;   178.072;   656.534; 2.447.692; 9.200.402;35.061.372
total:      1.024;     4.096;    16.384;    65.536;   262.144; 1.048.576
total%:     0,117;     0,073;     0,065;     0,049;     0,047;     0,041
half01:       252;       924;     3.432;    12.870;    48.620;   184.756
half01%     0,476;     0,325;     0,310;     0,252;     0,255;     0,232
***************
n: 100
p: 0,50
--------------
length:       10;       12;       14;       16;       18;       20
count:     1.000;    1.000;    1.000;    1.000;    1.000;    1.000
min  :         0;        0;       48;      284;      660;    3.994
max  :        42;      110;      306;      952;    3.812;   11.672
avg  :        13;       42;      146;      508;    1.813;    6.600
sum  :    12.750;   42.460;  145.984;  508.426;1.812.710;6.600.264
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,041;    0,027;    0,019;    0,015;    0,015;    0,011
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,167;    0,119;    0,089;    0,074;    0,078;    0,063
***************
n: 1.000
p: 0,50
--------------
length:       10;       12;       14;       16;       18;       20
count:     1.000;    1.000;    1.000;    1.000;    1.000;    1.000
min  :         0;        0;       10;       68;      192;    1.112
max  :        16;       42;      120;      332;    1.030;    3.842
avg  :         4;       13;       46;      162;      579;    2.078
sum  :     3.938;   13.248;   45.564;  161.824;  579.006;2.078.124
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,016;    0,010;    0,007;    0,005;    0,004;    0,004
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,063;    0,045;    0,035;    0,026;    0,021;    0,021
***************
n: 10.000
p: 0,50
--------------
length:       10;       12;       14;       16;       18;       20
count:     1.000;    1.000;    1.000;    1.000;    1.000;    1.000
min  :         0;        0;        0;       12;       72;      366
max  :         8;       16;       48;      102;      396;    1.382
avg  :         1;        4;       15;       51;      182;      662
sum  :     1.224;    4.222;   14.614;   51.468;  182.386;  662.424
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,008;    0,004;    0,003;    0,002;    0,002;    0,001
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,032;    0,017;    0,014;    0,008;    0,008;    0,007
***************
n: 10
p: 0,90
--------------
length:        10;        12;        14;        16;        18;        20
count:      1.000;     1.000;     1.000;     1.000;     1.000;     1.000
min  :          0;         0;        56;       336;     4.356;     9.240
max  :        140;       420;     1.848;     5.544;    17.640;    60.060
avg  :         66;       218;       763;     2.690;     9.531;    34.585
sum  :     65.826;   218.424;   762.624; 2.690.366; 9.530.860;34.584.582
total:      1.024;     4.096;    16.384;    65.536;   262.144; 1.048.576
total%:     0,137;     0,103;     0,113;     0,085;     0,067;     0,057
half01:       252;       924;     3.432;    12.870;    48.620;   184.756
half01%     0,556;     0,455;     0,538;     0,431;     0,363;     0,325
***************
n: 100
p: 0,90
--------------
length:        10;        12;        14;        16;        18;        20
count:      1.000;     1.000;     1.000;     1.000;     1.000;     1.000
min  :          0;         8;        82;       392;     1.392;     6.792
max  :         60;       170;       572;     2.256;     6.080;    23.812
avg  :         21;        70;       246;       867;     3.035;    11.037
sum  :     21.114;    70.076;   246.364;   867.042; 3.035.458;11.036.556
total:      1.024;     4.096;    16.384;    65.536;   262.144; 1.048.576
total%:     0,059;     0,042;     0,035;     0,034;     0,023;     0,023
half01:       252;       924;     3.432;    12.870;    48.620;   184.756
half01%     0,238;     0,184;     0,167;     0,175;     0,125;     0,129
***************
n: 1.000
p: 0,90
--------------
length:       10;       12;       14;       16;       18;       20
count:     1.000;    1.000;    1.000;    1.000;    1.000;    1.000
min  :         0;        0;       20;      126;      310;    1.930
max  :        32;       68;      280;      650;    1.772;    6.102
avg  :         7;       23;       76;      270;      967;    3.473
sum  :     6.764;   22.728;   76.372;  270.136;  967.020;3.472.508
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,031;    0,017;    0,017;    0,010;    0,007;    0,006
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,127;    0,074;    0,082;    0,051;    0,036;    0,033
***************
n: 10.000
p: 0,90
--------------
length:       10;       12;       14;       16;       18;       20
count:     1.000;    1.000;    1.000;    1.000;    1.000;    1.000
min  :         0;        0;        2;       24;      108;      660
max  :        18;       26;       62;      164;      606;    2.168
avg  :         2;        7;       24;       85;      301;    1.102
sum  :     2.070;    7.138;   24.406;   85.258;  301.204;1.101.502
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,018;    0,006;    0,004;    0,003;    0,002;    0,002
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,071;    0,028;    0,018;    0,013;    0,012;    0,012
***************
