length:       10;       12;       14;       16;       18;       20
count:    10.000;   10.000;   10.000;   10.000;   10.000;   10.000
min  :         0;        0;        0;        0;       64;      300
max  :        12;       32;       52;      138;      504;    1.346
avg  :         1;        4;       15;       51;      184;      660
sum  :    12.574;   42.914;  147.548;  513.202;1.835.096;6.597.694
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,012;    0,008;    0,003;    0,002;    0,002;    0,001
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,048;    0,035;    0,015;    0,011;    0,010;    0,007
